lat,lon,amenity,leisure,shop
57.7104954,11.951286,ferry_terminal,,
57.625899,11.8286973,ferry_terminal,,
57.6962043,11.9680665,restaurant,,
57.6975579,11.9660551,restaurant,,
57.7553842,12.047679,fuel,,
57.7563969,12.054059,recycling,,
57.7578048,12.0550069,recycling,,
57.7560083,12.0522032,post_box,,
57.7542123,12.0559722,recycling,,
57.7537884,12.0555806,post_box,,
57.7126404,11.9934523,post_box,,
57.7021929,11.9917346,post_box,,
57.7568885,12.0429998,post_box,,
57.5670902,11.7904306,toilets,,
57.7511257,12.0637953,post_box,,
57.7511973,12.0630911,recycling,,
57.7488131,12.068882,recycling,,
57.7617077,12.0412679,post_box,,
57.7617841,12.0408293,recycling,,
57.6511556,11.9031502,fuel,,
57.8179492,11.8800396,ferry_terminal,,
57.7579533,12.0368052,parking,,
57.7085407,11.7029384,ferry_terminal,,
57.685789,11.9194103,taxi,,
57.6865938,11.9199941,,,bicycle
57.6872646,11.918529,recycling,,
57.6821945,11.9083564,clinic,,
57.762013,12.0382766,recycling,,
57.6805774,11.9442254,fuel,,no
57.75445,11.99354,fuel,,
57.7473977,11.9937122,fuel,,
57.6477974,11.8914496,fuel,,convenience
57.6346191,11.9309243,fuel,,no
57.6473114,11.9327253,fuel,,kiosk
57.6992114,11.8689693,fuel,,
57.7586626,11.9892404,fuel,,
57.7197891,11.95877,fuel,,no
57.7128061,11.838182,fuel,,
57.7271814,12.0272304,fuel,,
57.75408,11.99521,fuel,,
57.7301735,12.0007167,fuel,,
57.698887,11.9276314,fuel,,
57.7737956,12.0585766,fuel,,
57.7024135,11.8303564,fuel,,
57.697,11.88087,fuel,,
57.7059631,11.8493073,fuel,,
57.7301352,11.9853914,fuel,,
57.7108735,11.932254,fuel,,
57.8014255,12.0337409,fuel,,
57.7364545,12.0055217,fuel,,
57.6821934,12.002455,fuel,,
57.7406094,12.0779121,fuel,,
57.641268,11.9415383,fuel,,
57.6475214,11.9160724,fuel,,
57.6495828,11.9550473,fuel,,no
57.80073,12.04155,fuel,,
57.5984817,11.947962,fuel,,
57.7123133,11.9315748,fuel,,no
57.7549898,11.8798213,fuel,,no
57.7594514,12.0394487,recycling,,
57.6988663,11.9348583,,,supermarket
57.708538,11.9690246,atm,,
57.7062069,11.9678486,bank,,
57.7521294,12.0317404,atm,,
57.7517058,12.0320537,atm,,
57.5912916,11.7818485,ferry_terminal,,
57.6160075,11.7622724,bench,,
57.6038915,11.7908466,ferry_terminal,,
57.6944344,11.8456532,parking,,
57.6492512,11.8072954,ferry_terminal,,
57.7624239,12.0544013,parking_entrance,,
57.7618567,12.0507856,recycling,,
57.7596962,12.05945,,playground,
57.7592011,12.0606777,,,convenience
57.7617623,12.0706343,post_box,,
57.7557459,12.0584529,post_box,,
57.7415664,12.0562932,post_box,,
57.7456376,12.0493446,recycling,,
57.7448588,12.0493046,post_box,,
57.6498757,11.8655216,recycling,,
57.6646954,11.8741782,atm,,
57.6579677,11.9312944,recycling,,
57.6643486,11.9276859,school,,
57.7137003,12.0043292,pub,,
57.7231986,12.0253381,fuel,,
57.7113457,12.0141249,post_box,,
57.7112117,12.0139466,,,convenience
57.6909752,11.9149645,recycling,,
57.693175,11.9405838,recycling,,
57.7080771,11.9733161,,,kiosk
57.7061357,11.9668666,pub,,
57.7093873,11.966984,bank,,
